Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
goneleft.com,FN,low,,,,,low,fake-news
goneleft.com,FN,low,,,,,low,fake-news
gotnews.com,FN,low,,,,,low,fake-news
govtslaves.info,CP,low,,,,,low,conspiracy-pseudoscience
guerilla.news,,,,,fake-news,1.0,unknown,fake-news
guerillanews.com,,,,1.0,,,unknown,FC1
gummypost.com,,,,,fake-news,1.0,unknown,fake-news
haarp.net,CP,low,,,,,low,conspiracy-pseudoscience
healtheternally.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
healthy-vibes.com,CP,low,,,,,low,conspiracy-pseudoscience
healthycareandbeauty.com,,,,,some-fake,,unknown,some-fake
healthyworldhouse.com,,,,,fake-news,,unknown,fake-news
heaviermetal.net,,,1.0,,,,unknown,BF1
hoggwatch.us,,,1.0,,,,unknown,BF1
homeopathyjournal.net,CP,mixed,,,,,mixed,conspiracy-pseudoscience
houstonchronicle-tv.com,,,1.0,1.0,imposter,1.0,unknown,imposter
houstonleader.com,,,1.0,,,,unknown,BF1
ideaspots.com,,,,,some-fake,,unknown,some-fake
identityevropa.com,FN,very-low,,,,,very-low,fake-news
ihavethetruth.com,FN,low,,,,,low,fake-news
ilovenativeamericans.us,CP,mixed,,,some-fake,,mixed,conspiracy-pseudoscience
independentlivingnews.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
indigenous.club,FN,very-low,,,,,very-low,fake-news
informedowners.com,FN,very-low,,,,,very-low,fake-news
interestingdailynews.com,,,,,fake-news,,unknown,fake-news
interestingthingsdaily.com,,,,,,1.0,unknown,unknown
itaglive.com,FN,very-low,,,,,very-low,fake-news
jacksontelegraph.com,,,1.0,,,,unknown,BF1
jeffereyjaxen.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
jewsnews.co.il,CP,low,,,some-fake,,low,conspiracy-pseudoscience
jewwatch.com,FN,low,,,,,low,fake-news
joeforamerica.com,FN,low,,,,,low,fake-news
jokerviral.com,,,1.0,,,,unknown,BF1
jonesreport.com,CP,very-low,,,,,very-low,conspiracy-pseudoscience
jookos.com,FN,low,,,,,low,fake-news
kagfeed.com,,,,1.0,,,unknown,FC1
kata33.com,,,1.0,,,,unknown,BF1
kbc14.com,,,,,imposter,,unknown,imposter
kcna.kp,FN,very-low,,,,,very-low,fake-news
kcst7.com,,,,,imposter,,unknown,imposter
kf13.com,,,,,imposter,,unknown,imposter
kmt11.com,,,1.0,,imposter,1.0,unknown,imposter
knightstemplarinternational.com,FN,low,,,,,low,fake-news
knp7.com,,,1.0,,,,unknown,BF1
konkonsagh.biz,,,,,fake-news,,unknown,fake-news
krb7.com,,,,,imposter,,unknown,imposter
kspm33.com,,,1.0,,,,unknown,BF1
kty24news.com,,,,,imposter,,unknown,imposter
ky12news.com,,,1.0,,imposter,,unknown,imposter
ky6news.com,,,1.0,,,,unknown,BF1
kypo6.com,,,1.0,,,,unknown,BF1
ladylibertysnews.com,FN,low,,,fake-news,,low,fake-news
landrypost.com,,,1.0,,,,unknown,BF1
lastresistance.com,FN,low,,,,,low,fake-news
learnprogress.org,FN,low,,,some-fake,,low,fake-news
liberalplug.com,FN,low,,,fake-news,,low,fake-news
liberalsociety.com,FN,low,,,,1.0,low,fake-news
liberalspeak.com,FN,mixed,,,,,mixed,fake-news
liberty-courier.com,FN,low,,,fake-news,,low,fake-news
libertyalliance.com,FN,mixed,,,fake-news,,mixed,fake-news
libertybrief.com,FN,low,,,,,low,fake-news
libertyisviral.com,FN,low,,,,,low,fake-news
libertywritersnews.com,FN,very-low,,,,1.0,very-low,fake-news
linkbeef.com,,,,,,1.0,unknown,unknown
livingresistance.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
local31news.com,,,,,imposter,,unknown,imposter
localnews33.com,,,1.0,,,,unknown,BF1
lopezreport.com,,,1.0,,,,unknown,BF1
loser.com,FN,mixed,,,,,mixed,fake-news
macedoniaonline.eu,,,,,some-fake,,unknown,some-fake
madamericannetwork.com,FN,low,,,,,low,fake-news
maga2020.us,FN,very-low,,,,,very-low,fake-news
